Txt,Year12,Month12,idx
"구월 닭띠의 성향 - 발상의 기발성, 대담성에서는 닭띠 주에서 가장 뛰어나다.

흉내를 내는 것을 대단히 싫어 하며 생각하는 방법은 물론 복장, 휴대품, 말하는 법, 얼굴의 표정에 이르기까지 개성있게 하려고 애쓴다. 
기성품의 셔츠를 사도 단추를 핸드메이드의 것으로 바꾸어 달거나 블라우스에 장식 포켓을 자수하는 등골몰에 골몰을 거듭하는 성미이다. 
어쩌다가 거리에서 자기와 같은 코트를 입고 있는 사람을 보게되면 그 밤은 속상해서 잠을 이루지 못한다.

뛰어난 재간을 충분히 살릴 수 있는 곳, 즉 연공서열제가 아니고 능력위주 발탁의 회사를 택하지 않으면 손해다.
가수인 보이 죠지도 그야말로 자력으로 이 세계를 헤쳐나간 사람이다.

이 달의 여성은 장식기가 없는 서민적인 인품이며 직장의 꽃으로서 누구에게나 사랑을 받는다.
또한 이 달의 사람은 일반적으로 이가 약한 경향이 있으므로 알사탕 등을 조심성 없이 깨물면 이를 상하게 할 때가 있으므로 주의하기 바란다.

남성은 배우자로서 도회지 출신의 섬세한 타입보다 시골 출신의 흙냄새가 남아있는 
건강하고 소박한 여성을 택하도록한다.
소띠의 4월생 말띠의 11월생 여성 중에 있다. 여성은 원숭이띠의 3월생 남성이 꼭 맞는다.

맑고 어여쁜 눈을 가진 사람이 많지만 중년 이후에 눈병에 주의하지 않으면 안된다.","酉","戌",69
"시월 닭띠의 성향 - 착실하고 온순해서 벌레도 죽이지 못한다. 그래도 내심은 상당히 의지가 강하고 남에게 지기를 싷어한다. 말하자면 외유내강 타입이라고나 할 것이다. 

착실하게 한발 한발 기반을 쌓아 어느새 연령에 알맞는 지위를 얻고 있는 사람이다. 
평상시 온순하고 눈에 띄지 않는 존재이지만 때로는 예상도 할 수 없는 큰 사건, 
이것도 이론으로는 해결해 나갈 수 없는 미스테리어스한 사건에 부딪힐 때가 있다.
예를 들면 국제적인 스파이 음모사건에 휘말려서 외국으로 끌려가거나 어느날 호적에서 자기 이름이 지워져 있거나 갑자기 기억을 상실해서 
그대로 행방불명이 되는 등 예측하지 않았던 사태가 발생해서 안락했던 생활의 페이스를 백팔십도 전화시키는 것이다.
이러한 사람에게는 친구, 지인, 친척 연고자가 적다는 것도 어딘가 신비스럽다.

여성은 누구에게서나 사랑을 받고 소중하게 여겨지는 테도 불구하고 사소한 상대의 결점을 지나치게 끄집어내 자신의 손으로 사랑과 안전을 허무한 것으로 만드는 일이 많은 것 같다.

신문, 주간지의 신상상담을 항상 내는 무리 중에는 이 달 여성이 많은 것 같다.
그 불행을 한결같이 호소하는 편지는 베테랑 담당자에게 자기도 모르게 눈물을 머금게 할 정도로 훌륭하다. 

당신의 성격적인 단점은 궁합이 좋은 남성과 만나는 것으로 해결될 것이다.
남성은 용띠의 7월생 여성이 좋다. 여성은 뱀띠의 11월생 남성이 이상적이다.","酉","亥",70
"이월 개띠의 성향 - 목적을 크게 잡고 이것을 향해서 도전해가는 사람이다.

성격은 외향적, 낙천적인 명랑성으로 사람들에게 사랑을 받는다.
또한 감각적인 예리한 판단을 한다는 것이 큰 무기이지만 낙천적인 어린이 기질과 결합될 때에는 오히려 마이너스가 된다. 
첫대면의 사람과 돈에 얽힌 교섭을 할 때에는 여유를 둔 조사가 필요하다.
또 계산을 하지않은 충동적인 행동은 에너지가 공전해서 생각한 절반의 결과도 얻지 못한다.

운수는 물결의 진폭이 넓은 쪽이다. 
기분이 내키지 않을 때, 작은 실패가 거듭될 때는 행동을 삼가한다. 
신중성만 있으면 톱까지는 가지 못한다 해도 그 바로 근처까지는 갈수 가 있다.

헤어스타일에 까다로운 사람이다. 
남성은 2주일에 한번은 이발소에 가며 자기자신도 헤어드러이어나 화장품 등 일단은 갖추고 있다. 
여성도 1주일에 한번은 세트, 1개월에 한번은 컷트를 빠트리지 않는다.

궁합을 보면 여성은 따뜻한 가정을 만들 수가 있다. 
범띠의 5월생, 소띠의 6월생 남성과 궁합이 맞는다. 
남성은 남편의 호조에 날뛰지 않고 잘못에 좌절하지 않는 여성이 필요하다.
말띠의 2월생, 양띠의 12월생 여성과 좋은 궁합을 이룰 수 있다.

이 달 태생의 사람에는 문화훈장을 받을만한 작가나 화가, 영화감독 등 종횡무진으로 활약하고 있는 사람이 많다.","戌","卯",74
"삼월 개띠의 성향 - 이상은 이상, 현실은 현실로 결론을 내는 적응성을 갖고 있다.

A당을 지지하면서 B당의 가능성이 높으면 B당의 선거응원을 하고도 모순을 느끼지 않는다.
이 적응성과 감각의 섬세성 양쪽을 살리면 디자인 관계, 서비스업에서 크게 성공을 한다. 
특히 서비스업은 남이 기뻐하는 것을 자기 기쁨이라고 여기는 성질이 플라스된다.
문화, 예술 면으로 진출해도 업적을 올릴 수 있다.

여성은 향수를 자주 바꾼다. 기분을 상하게 하는 일을 당하면 기분을 전환시키기 위해 향수를 바꾸지만 말많은 사람으로부터는 자주 남자를 바꾸는 여성이라는 오해에 찬 소문 내게하는 원인이 된다.
그러나 이 비판은 모두가 전부 틀렸다고는 할 수가 없다. 

이 달 태생의 여성이 마음 속 깊이 가지고 있는 적응성의 일단을 지적하고 있다. 
어떠한 타입의 남성과 교제를 하여도 개개인으로부터 각각 다른 행복을 얻을 수가 있을 것이다. 
남성은 부모로부터 받은 재산으로 몸을 망칠 위험이 있다.

고속도로 건설로 큰 액수의 보상금을 받았기 때문에 직장을 그만두고 갬블에 미쳐서 원금마저 없앤다는 위험이 없다고 할 수는 없는 것이다.

여성의 궁합은 행동력이 있는 쥐띠의 8월생, 양띠의 10월 남성과 맞는다.
남성은 남편이 세운 방침을 자기 나름대로 연구해서 발전시켜 가정을 다스릴 수 있는 토끼띠의 10월생, 돼지띠의 정월생 여성이 맞는다.
","戌","辰",75
"유월 개띠의 성향 - 선배나 상사가 끌어올려주는 타고난 환경에 있다. 

그러기 때문에 너무 순조로울 정도로 좋은 스타트를 끊게 되지만 이것을 몽땅 자기의 힘만의 탓이라고 지나치게 믿는 점이 있다. 
담력도 있고 영리하며 좋은 소질을 갖고 있으므로 닦으면 더욱 더 빛을 낼 여지가 있다.
배우, 가수들이 이 달의 태생이 많다.

여행을 즐기며 화려한 것을 좋아하므로 지출이 많은 사람이지만 남에게 돈을 빌리는 것을 싫어한다. 
저금을 하기는 하지만 1주일도 못참고 꺼내므로 잔금은 불과 몇천원대로 그치게 된다.
친구는 많이 사귀지만 얕은 교제로 된다. 
꼭 필요할 때에 의뢰할 수 있는 친구를 빨리 만들어야 할 것이다.

궁합은 여성이면 남편 품속에서 따뜻하게 지내고 싶은 마음이므로 소띠의 정월생, 개띠의 5월생 남성과 맞는다. 
또 남성은 유복한 가정의 아가씨와 결혼 할 운수이다.
결혼함에 따라 가업에 종사하도록 신부 측에서 요구가 있겠지만 체면에 구애받지 말고 자기의 취미에 맞는 사업이면 승낙하는 것이 좋을 것이다.
금속에 관계되는 직종이나 소매업은 성미에 맞는 것이다.

남성은 캐묻기를 좋아하는 여성은 피하고 좋은 환경 속에서 자란 인간 그대로의 인품을 이어받은 범띠의 7월생, 용띠의 정월생 여성이면 궁합이 맞는다.","戌","未",78
"칠월 개띠의 성향 - 이 달 태생의 여성은 사랑스럽고 하는 일에도 소흘함이 없으므로 어디에 가나 사랑을 받는다.

단 지나치게 개방적인 성격 때문에 비밀을 지키는 것이 힘든것 같은 느낌이 든다.
친구에게 자기 남편의 출신학교부터 음식물에 대한 기호까지 모조리 말하는 아내는 이 달 출생의 사람이 많은 것 같다.
또 외국으로 여행을 떠나게 된다면 이 사람 저 사람 할 것 없이 선물을 돌려서 그 사실을 알리게 하려고 애쓴다.

남성도 악의가 없는 쾌활한 성격이다. 
이 달 태생의얼굴은 그 용모로부터 보기에 사기가 없는 개띠다운 얼굴을 하고 있다. 
사장이나 만담가, 여배우들이 많다.

이 달의 사람은 감정이 많고 화려한 애정관계를 펼친다.
그러나 싫증나기가 쉽고 오래 계속하도록 노력을 하지 않으므로 늦은 혼인이 될 것이다.

궁합은 남성이면 용띠의 3월생 여성이 좋다.
여성은 범띠의 3월생 남성과 아주 좋다.

어릴 때부터 피부병으로 고생하는 사람이 많은 것 같다.","戌","申",79
"구월 개띠의 성향 - 자기의 생활은 자기 멋대로의 생활이지만 직업 면에서는 연구, 은행원, 주식관계 등 정직성을 요구하는 일에서 성공하는 사람이다.

사람을 좋아하고 싫어하는 차이가 심하며 이것이 그대로 표정에 나타나 버린다. 
회합의 흥미를 깨트리는 일이 많이 생긴다.
감정을 억제하거나 말을 생각해서 말하지 않으므로 아무 생각없이 주고 받는 동안에 친구를 잃을 때가 많은것 같다.

술은 많이 마실 수는 없으나 쾌활한 술이다. 
평소의 말이 심하던 것이 전혀 모습을 감추고 술을 마시는 사람 모두가 모두 나의친구이며 모임의 중심으로 떠오르게 된다.

기억력이 너무나도 뛰어나다. 1년에 한번 걸까 말까하는 전화번호를 기억하고 있거나 영어 소사전을 최초에서 최후까지 그대로 암기해 보이는 것이 특기이다.

궁합을 보면 남성은 꾸준히 일을 하는 범띠의 10월생 뱀띠의 7월생 여성이 맞는다. 
여성은 말띠의 12월생 양띠의 9월생 여성과 궁합이 맞는다. 
서로가 입으로는 큰소리를 내면서도 상대의 생각을 존중하고 구애받지 않는 가정을 이루게된다.
또 상대가 마음이 내키지 않는데도 자기만의 기분으로 강제로 한다는 일은 절대로 없을 것이다.

이 달 태생에는 프랑스의 여배우인 브리지트 바르도가 있고 이 밖에 유명한 의학박사나 재치있는 사회자들이 있다.
","戌","戌",81
"십이월 개띠의 성향 - 이 달 태생의 여성은 차분한 감정을 갖고있는 사람이다.

이 사람을 위해서는 무엇이든 해주고 깊어지는 유혹의 분위기를 갖고있다. 
정직한 성격을 갖고 있고 생각한 일은 강렬히 추구하는 과단성을 갖고있다.
이러한 성격에서 결정한 상대와 과격한 연애를 하는 케이스가 많다.

남성은 신경이 세밀하여 특히 자기를 세상 사람들이 어떻게 생각하고 있는가를 마음에 두고 자존심을 상하게 하는 일에는 못 견디는 성격이다.
지기 싫어하며 끝까지 남과 경쟁한다. 원래는 착한 사람인데 당신의 아픔을 잘 이해하여 주는 사람과 이해해주지 못하는 사람으로 극단적으로 나누어진다.

여성은 품에 싸주는 것 같은 마음속이 깊은 남성과 따뜻한 가정을 꾸미게 된다. 
경제적인 조건이나 가정환경을 위해서 반대가 많은 결합이지만 자신을 잃지않고 처음의 뜻을 관철하는 것이다. 

쥐띠의 정월생, 말띠의 3월생 남성과 궁합이 맞는 것 같다.
남성이면 말띠의 8월생 여성과 맞는다. 
이 여성이라면 흥분하기 쉽고 상하기 쉬운 마음을 조용히 달래줄 수 있는 평온한 가정을 만들 수가 있을 것이다.

이 달 태생에는 학자도 많고 배우도 많은 것 같다.
","戌","丑",84
"삼월 쥐띠의 성향 - 표면은 적극적인 행동파이지만 내면은 회의적, 사색적이며 복잡한 인간이라는 인상을 주는 사람이다.

그러므로 집단 속에서 일을 하면 사람에게 오해를 받을 때가 때때로 있다. 
자기 독자의 세계에서 충실한 인생을 보내는 것이 성미에 맞는다.

이 달의 사람은 사람에게 부탁을 받으면 거절하지 못하는 성격이며 친구도 많이 생긴다. 
단 조심하여야 할것은 좋은 운수를 상당히 친한 친구때문에 파괴할 염려가 있다는 점이다.
예를 들면 사랑하는 애인을 친구에게 소개하였기 때문에 그 친구에게 뺏기게 되는 사람이다.

또 이 달 태생의 쥐띠인 사람에 한해서 경제면에서 좀 파란 일이 일어날 것이다.
섬세한 신경과 행동성을 발휘할 수 있는 분야의 직업, 자동차 레이서, 화구상, 패션 컨설턴트 등에 맞는다. 
미국의 세계적인 레이서 짐 클라크는 이 달 태생이다.

애정면에서는 남성의 경우 자신이 약하다고 생각하는 사람이 많은 것 같다.

궁합은 여성이면 양친이 생존한 장남 이외의 남성으로 뱀띠의 3월생, 개띠의 8월생이 좋을 것이다.
남성은 말띠의 5월생, 뱀띠의 9월생 여성과 맞는다. 
또한 결혼 할 때는 건강진단서, 특히 성병의 검사결과를 교환할 필요가 있다.","子","辰",99
"유월 쥐띠의 성향 - 민첩한 행동을 보이는 밝고 친절한 성격의 사람이다.

항상 화려한 행동으로 주위에는 웃음의 물결리 감돌게 된다. 
그룹속에서도 언제나 주목을 받고 싶은 것이다. 
때문에 때로는 실력이상으로 자기를 나타내려는 점이 보인다.
기성복 점에서 산 드레스에 ""Made in Paris""의 상표를 붙이거나 재상을 자랑했기 때문에 애써 성립된 결혼의 찬스를 잃게 되는 일도 생긴다.

회사에서는 직송상사와 충돌이 많고 그 때마다 전직할까 하고 생각하는 사람이지만 30세 전의 전직은 피하여야 한다.
직업은 여행을 즐기는 점을 살려서 여행안내업, 가이드사 성격적으로도 맞는다. 
일반회사면 화학회사의 공장관계, 운수회사 등이 맞는다.

애정면에서는 남녀가 정신적인 만족으로 좋아하는 타입이다.
또 애인이나 결혼상대는 자기와 전혀 다른 성격의 사람을 택하는 경향이 강하다.

궁합은 남성은 약간 행동이 신중한 소박한 성격의 여성을 택하는 것이 좋을 것이다. 
그 의미에서 원숭이띠의 2월생의 사람과 맞는다.
또 여성도 자기보다 착실한 인생관을 가진 남성과 맺어지는 것이 행복에의 길일 것이다.
범띠의 2월생의 남성이 좋다.","子","未",102
"구월 쥐띠의 성향 - 마음과 몸 모두 충실한 사람이다

사람 마음의 움직임에도, 미적인 것에도 예민한 감각을 갖고 있다. 
자기에게 완전한 것을 구하려는 향상심이 대단히 왕성하고 엄하지만 타인에게는 관대하다.
기억력도 뛰어나고 고지식하며 정리능력이 대단하다. 
그러나 안전을 구하는 나머지 행동력이 둔해지는 일이 있다.
또 사람의 감정을 알면서도 구태어 이것에 반항하는 말투로 반감을 살 때도 간혹 있다.
특히 여성에 대해서는 주의하는 것이 좋을 것이다. 
재물을 불리는 재능이 있어 맨손으로 출발하여도 결혼 5년 후에는 자력으로 집을 마련할 수도 있을 것이다.

직업은 정리능력을 살려서 능률향상 컨설턴트, 프로그래머 등에 재능이 있다.
특히 여성의 특징이지만 애인에게 자기쪽에거 전화를 거는 것을 상당히 망설이는 사람을 많이 볼 수가 있다.

애정면에서는 남녀 모두 상대의 결점을 지적해서 정신적으로는 서로 이해하기 힘드나 생활감정은 아주 잘 맞는 결혼이 많은 것 같다.
특히 여성의 경우 남편을 만족시키는 일이라면 어떠한 일이라도 한다는 성실성이 있다.

남성은 양띠의 8월생, 여성은 범띠의 10월생인 상대라면 정신적으로도 통할 수 있는 궁합이다.","子","戌",105
"일월 소띠의 성향 - 소의 집중력과 끈기에다가 전년의 쥐띠의 영향으로 [변신의 빠르기]를 가진 사람이다.

예술적인 창조력에 은혜를 받아 인생이라는 캔버스를 자유자재로 필해서 개성적인 그림으로 만들어 낸다.
강력한 자기의식의 소유자이며 사상이나 복장에서부터 먹는 것에서도 자기의 개성에 맞지 않는 것은 일체 받아들이지 않는다.

패션계의 여류인사나 만화가, 영화감독 같은 사람들의 강한 자기의식이나 머리전환의 선명한 점이든가 그야말로 이 달 태생의 전형적인 사람이다고 할 수가 있다.
또 결백한 사람이 많은 것도 이 달 태생의 특징이며 밥 속에 머리카락이라도 보면 큰일 난다. 
밥상을 엎어버리는 일도 있게 된다.

남성은 타고난 귀족적인 용모와 뛰어난 심리조종으로 여성의 마음을 사로 잡는다. 
애정표현의 기술은 일품이다. 
결혼에 구애받지 않으면 사귀어서 즐거운 상대지만 진실한 애정은 그다지 기대할 수가 없다.
여성은 속에서 우러나오는 듯한 매력에 가득 차 있다.

애정표형은 대담하다. 
궁합은 남성이면 개띠에 태어난 여성이 맞다.
여성이면 용띠의 9월생의 남성이 좋을 것이다.","丑","寅",109
"사월 소띠의 성향 -두뇌가 명석하고 의지가 굳으며 한가지 일을 해내는 집중력에는 모두 놀란다.

권력이나 명예에 대한 집착이 딴 사람의 배이상 강하고 이것들을 얻기 위해서는 어떠한 가혹한 경쟁이라도 마다하지 않는다.
그리고 근육질이며 일부분의 약한 점도 없는 체질이 그야말로 강철을 상상케 한다. 
일상생활에서도 일에는 헛됨을 싫어하며 무엇이든 합리적으로 타개해 나가려고 한다.
따라서 이렇다 할 취미도 없는 사람이 많지만 남성은 기계 다루거나 미니카의 수집에 열중하는 타입이다.
또 여성은 머리가 좋고 이지적이며 정리를 좋아하고 가정에서 청결감을 넘치게 하는 사람이다. 
또 유행에도 대단히 민감하다.

직업은 남성이면 관리, 정치가 등 남성적인 스케일이 큰 것에 동경심을 갖고 있다. 
또 스포츠맨, 레이서 등도 가장 적합한 직업이다. 
여성의 경우도 잔일보다 오히려 남성의 직장에 진출해서 성공할 것이다.

이 달의 남녀는 서로가 닮은 사람끼리 결혼하는 경향이 있다.
남성이면 성격이 강한 독립형의 여성과 인연이 있을 것이다. 
너무 성격이 다른 타입과는 잘 되지가 않는다.

여성은 가문이 좋은 남성과 인연이 있다. 
남성에겐 토끼띠의 4월생 여성이 좋다.
여성에겐 닭띠의 9월생, 용띠의 4월생 남성이 이상적이다.","丑","巳",112
"칠월 소띠의 성향 - 표면은 온순하고 이지적이지만 실제로는 보통사람 이상으로 강한 주체성의 소유자이다.

그 만큼 이성의 컨트롤을 잃으면 사람들로부터 고집쟁이라는 인상을 받게 되기 쉽다. 
이 달의 사람은 자기의 불안정도를 알고 있다. 
그러므로 때때로 자기혐오에 빠지거나 집안 식구에게 세게 대하는 것이다. 
어릴적에 집안에서만의 호랑이라고 놀림을 받았을 것이다.
그러나 창조적인 능력 특히 예술적인 센스가 뛰어나다. 
자아와 이성의 조화가 잡히게 되는 중년이후에는 이 달의 사람에게 있어서 풍부한 재능이 꽃 피우게 되고 최상의 시대가 될 것이다.
훌륭한 음악가나 배우가 이 달의 태생이다.

직업은 작가, 화가, 음악가. 아트, 디렉터 등이지만 사회사업 관계로 나가도 성공한다.

남녀가 타인에게는 예절바르게 하지만 가정에서는 상당히 제멋대로 노는 경향이 있다. 
안심하고 마음을 맡길 수 있는 생각이 깊은 배우자를 택하지 않으면 안 된다. 
남성은 재능이 있는 타입의 여성보다 오히려 애교가 넘치는 여성을 택하여야 한다.

남성에겐 양띠의 6월 태생 여성이 최고다. 
여성이면 닭띠의12월생 남성이 좋을 것이다.

남녀 모두 신경과민의 경향이 있으므로 신경성 위병, 눈동자 피로 등에 주의하여야 한다.","丑","申",115
"시월 소띠의 성향 - 소띠 태생인 사람은 마음이 호방하고 활발하여 작은일에 구애받지 않는다.

자신가로서 야망도 대단하고, 일단 무슨 일이 생기면 물불 가리지 않고 해내는 사람이다. 
양친과는 일찍 사별하고 외톨박이가 된다.
그리고 타행살이로 열심히 노력하는 면이 있으나 너무나 일에 열중하면 혼기를 놓치는 위험이 있다.
남녀 다함께 결혼상대는 첫째 인상으로 결정된다. 
애정면은 깨끗하다.

옷과 음식을 가리지 않으며 주위의 상황에는 무관심하고 부모의 사랑과 원만한 대인관계를 가짐으로써 비로서 성공한다.
세상사에서 의리만은 잃지 않는다. 
특히 약속은 신경을 써야 한다.

좋은 배우자는 남성이면 원숭이 6월생 여성이 적격이다.
용띠의 9월생 여성과 결합되면 가정불화의 씨가 된다. 

여성은 개띠의 4월생 남성과 적격이다.
그리고 이 달 태생의 여성을 애인으로 갖는 남성은 3일에 한번은 데이트를 하는 것이 좋다.
너무 무관심하면 애인을 잃는다.

","丑","亥",118
"일월 범띠의 성향 - 그다지 눈에 띄지 않는 범이다.

범해의 밝은 성격도 약간 나오지만 아직 전해인 소해의 영향이 강하기 때문이다. 
따라서 사람과의 교제에도 조화를 존중하고 화려한 행동은 하지 않는다.
그러나 정직한 대신에 융통성이 적고 자기의 생각은 다은사람에게도 금방 통할 것이라 믿고 있는 독선성이 있고 오해를 받을 때가 있다.

착실하게 승진한는 일을 하면 정직한 인격이 살아서 점차 승진하는 형이지만 파도가 센 세계에 들어가면 그 장점이 없어져서 성공길이 막히게 된다.

화제가 빈약한 사람이다. 
술집에 가서도 호스테스와 마주않으면 [어디 사는가?] 에서 시작해서 호구 조사원 같은 회화를 하는 사람이 않은것 같다.
이 때 표현상에 난점이 있는 것이므로 회화의 연습을 잘 해야한다.

애정의 표현도 그다지능숙하지 못하고 자기의 호의를 상대에게 전달할 수가 없다. 
중매결혼이 많지만 화려함을 좋아하지 않는 비슷한 부부가 이상적이다.
이 때는 결혼 후도 서로의 마음을 충분히 나눌 수 있는 것이 중요하다.

여성은 토끼띠의 9월생, 양띠의 3월생 남성이 좋다.
남성은 용띠의 9월생, 돼지띠의 8월생 여성이 궁합이 맞는다.","寅","寅",121
"사월 범띠의 성향 - 범의 쾌활성, 독립성에 노력을 더한 성격이다.

30세가 지나면 작으나마 지도층으로 올라서서 상관이 되려는 희망을 강하게 가진다. 
원래 행동성이 있는데다 조사, 추리가 특기이므로 하는 일에 헛됨이 없고 위험성이 없다. 
젊었을 때는 검소하지만 장래의 발전이 클 사람이다. 
한 기업에서 독립하여 성공한 사람 중에는 4월의 범띠가 많다고 한다.

언제나 배가 고픈 사람이며 친한 사람을 만나면 [식사하러 갑시다] 하고 끄는 성질이다.
타인이 자기에게 권했을 때도 [지금 막 식사를 했습니다] 하고 거절하는 의리없는 일은 절대로 하지 않는다. 
레스토랑의 힘겨운 계단도 거절하지 않는 성미이다. 
또 주머니속에 영수증이 많은 것도 특색이다. 
3개월전에 본 영화의 관람권, 유원지 입장권, 맞지 않는 복권 등 어린이의 장난감 상자와도 같다.

치밀성을 요구하는 직업엔 도저히 근무할 수가 없는 것 같다.
완전히 가정과 사업을 구분해서 생각하는 것이 이달 태생의 남자이다. 
자질구레한 것은 자신이 판단하고 남편에게 걱정을 끼치지 않는 아내가 최고이다. 
뱀띠의 2월생, 원숭이띠의 10월생 여성은 이러한 사람이다.

여성은 몸집이 큰 사람이 많고 자기보다 키가 큰 남성을 요구한다. 
개띠의 6월생, 닭띠의 정월생 남성과 궁합이 맞는다.","寅","巳",124
"칠월 범띠의 성향 - 범의 행동적인 성격에 계획성이 가해져서 처세술이 훌륭하다.

장애물 경기라면 두번째 자리를 계속 뛰다가 최후에 망을 빠져나깔 때에 선두의 주자가 망을 들어올리는 것을 이용해서 잽싸게 선두로 뛰어나와 그대로 골에 들어온다.
또 기분전환이 빠르므로 어떠한 일에도 지치지 않는다.
낮잠의 명수이며 버스 속에서 서 있어도 머리속은 잠자고 있는 사람이다.

40세가 지나서 부하의 잘못으로 사회적인 곤경에 빠지지만 평상시의 의리가 깊었던 덕택으로 생각지 않았던 사람에게 도움을 받아 궁지에서 탈출하게 된다.

여성은 가정을 지키는 반면에 사회사업에 참가하는 등 광범위한 행동반경을 갖고 있다.
남성 여성 모두 성격, 생각이 다른 상대와 결혼하나 서로가 자기가 갖고 있지 않은 것을 상대가 갖고 있다는 것에 반하게 되므로  폭넓은 활달한 가정을 만들게 된다. 
아이 키우는 법도 일찍 자주독립성을 키워서 강한 의지를 가진 어린이로 키운다.

궁합은 여성은 소띠의 12월생, 개띠의 6월생 남성이 좋다.
남성은 소띠의 5월생, 범띠의 11월생 여성과 맞는다.

10월의 결혼은 특히나 좋게 된다.","寅","申",127
"팔월 범띠의 성향 - 표면적으로는 교제를 잘 하는 신사, 숙녀이다.

그러나 본성은 아무에게도 의뢰하지 않고 자기 동료로도 삼지 않는 성격의 양면성이 있다.
직관력이 뛰어나나 그것만으로는 행동에 옮기지 않고 눈으로 보고 귀로 듣고 손으로 만져보지 않으면 
승낙하지 않는 체험파이다.

여성은 마음이 좁은 축인것 같으며 자기 자식은 한 없이 귀여워하면서 다른 사람의 자식에겐 그렇지가 않다는 점이 있다.

초혼에서는 잘 살지 못하게 됐다하더라도 재혼에서 행복하게 되는 운수이다.

이 달 태생의 사람 중에는 모던재즈를 울리면서 사랑을 고백하는것에 최고의 흥분을 느끼는 사람을 흔히 볼 수가 있다.

샐러리맨 가정에서 자라난 여성이 상인 집에 시집가는 등 결혼으로써 환경을 아주 바꾸는 여성이 많은 것 같다.
토끼띠의 12월생, 원숭이띠의 6월생 남성과 궁합이 맞는다.

남성은 가정내에서도 자기 일은 자기가 처리하는 정확성이 있어 가족에게도 이것을 요구한다.
아내감으로는 주책이 없는 것이 아니라 좀 태평스러운 사람을 택하는 것이 잘 밸런스가 잡힌 가정을 만들 수가 있을 것이다.
그러므로 소띠의 2월생, 돼지띠의 5월생 여성과 궁합이 맞는다.","寅","酉",128
"십이월 범띠의 성향 - 자기 실력에 강한 자신감을 갖고 있다.

높은 지위나 명예를 바라며 이것이 손에 들어올 수 있다는 확신에 차 있다.
또 손에 넣기 위해서 모든 희생을 다하여 전력을 기울이는 사람이다.
그러나 그 전력투자가 도를 넘으면 굶주린 범이 먹이 구하는 것처럼 탐욕이 되어 적을 많이 갖게 되기도 쉬운 것이다.

반면 담백하고 남을 잘 칭찬하는 사람이기도 하다. 
복장이나 휴대품이라도 그 사람이 고심한 것을 재빨리 알아내고 거리낌 없이 칭찬하는 것이다. 
[역시 이 사람은 나에게 관심을 갖고 있었구나] 하고 생각하게 하고 설득의 무드로 이끄는 재능은 저항을 용서치 않는다.

여성도 역시 상대에게 자신감을 갖게 하는 일에 능숙하다. 
남성에게 실력 이상의 힘을 발휘시킬 수가 있다. 
일에 대한 욕구도 강하고 어린애가 생겨도 사람에게 맡기고 일을 계속하고 싶어한다.
사업이나 장사를 한다면 주인의 팔이 되고 또 남편의 그늘에 있어도 실질적으로 주도권을 잡고 일을 해낸다. 
토끼띠의 2월생, 양띠의 3월생 남성과 궁합이 맞는다. 

남성은 약간 가족에 대한 태도가 나쁜 점이 있다. 
쥐띠의 3월생, 원숭이띠의 1월생의 여성과는 궁합이 잘 맞는다.
","寅","丑",132
"사월 토끼띠의 성향 - 일을 솜씨있게 처리해 나가는 한편 이것이 잘 되었는가 하고 생각하며 망설이는 것이 이 달의 사람이다.

이것은 이상가 타입인 사람에게 특유한 우물거리는 성질이다.
이상을 쫓는 것도 좋지만 이것 때문에 모처럼의 행동력을 상실하게 되어서는 아무것도 되지가 않는다. 
눈에 보이는 찬스를 잃는 일도 적지가 않다.
또 고독을 몹시 좋아하며 타인에게 간섭을 받는 것을 싫어한다.
그래픽 디자이너들이 이 4월 태생이다.

이 달의 사람은 이상가 타입인 성격을 살리는 일을 택하고 그 속에서 자기를 높이는 것을 생각하는 것이 좋을 것이다.
공업디자이너, 특히 자동차 디자이너 등이 가장 적합하며 회사에 묶이는 것보다 자유로 활약하는 것이 성미에 맞는다.

천생연분인 자 이것을 놓치지 않는다 라는 말이 있다.
서로의 미점을 알아내도록 노력할 것.

궁합은 남성의 경우 이상이 높고 프라이드도 있는 타입이므로 아내로서는 약간 양보심이 있고 그러면서도 마음속은 의지가 굳은 사람이 좋다.
남성측에서 말한다면 개띠의 정월태생의 여성이 좋다.
여성이면 소띠의 4월생 남자가 좋을 것이다.","卯","巳",136
